1	272
3	54
5	175
7	403
9	22
11	181
13	636
15	104
17	28
19	20
21	179
23	151
25	78
27	25
29	34
31	36
33	24
35	25
37	57
39	22
41	52
43	221
45	48
47	25
49	215
51	23
53	28
55	21
57	106
59	382
61	21
63	93
65	80
67	30
69	65
71	38
73	66
75	79
77	72
79	55
81	58
83	155
85	288
87	211
89	76
91	98
93	20
95	278
97	63
99	136
101	67
103	29
105	23
107	22
109	234
111	24
113	51
115	92
117	86
119	181
121	74
123	54
125	182
127	23
129	30
131	30
133	26
135	55
137	47
139	24
141	107
143	20
145	316
147	20
149	36
151	307
153	23
155	22
157	51
159	107
161	58
163	23
165	30
167	69
169	37
171	28
173	43
175	38
177	115
179	42
181	435
183	53
185	48
187	56
189	187
191	27
193	121
195	96
197	118
199	40
201	386
203	43
205	22
207	230
209	33
211	37
213	126
215	93
217	76
219	28
221	146
223	105
225	27
227	58
229	30
231	21
233	110
235	94
237	48
239	159
241	23
243	81
245	22
247	26
249	161
251	77
253	97
255	83
257	57
259	46
261	27
263	123
265	46
267	185
269	323
271	278
273	22
275	95
277	54
279	434
281	26
283	53
285	32
287	62
289	27
291	296
293	388
295	196
297	192
299	280
301	275
303	484
305	222
307	112
309	20
311	294
313	262
315	87
317	22
319	23
321	125
323	89
325	142
327	284
329	65
331	70
333	26
335	22
337	34
339	254
341	21
343	237
345	232
347	199
349	41
351	44
353	25
355	26
357	76
359	27
361	121
363	311
365	58
367	58
369	22
371	51
373	233
375	28
377	33
379	196
381	127
383	71
385	281
387	304
389	271
391	121
393	448
395	57
397	102
399	319
401	153
403	50
405	737
407	226
409	203
411	58
413	50
415	24
417	365
419	32
421	62
423	64
425	204
427	31
429	414
431	21
433	41
435	379
437	263
439	31
441	20
443	24
445	135
447	139
449	75
451	98
453	156
455	189
457	277
459	118
461	23
463	133
465	80
467	44
469	43
471	31
473	35
475	20
477	35
479	202
481	56
483	59
485	26
487	231
489	109
491	33
493	135
495	213
497	279
499	102
501	73
503	160
505	112
507	58
509	33
511	24
513	22
515	40
517	37
519	49
521	150
523	100
525	54
527	137
529	43
531	30
533	260
535	218
537	490
539	56
541	133
543	197
545	162
547	23
549	25
551	334
553	100
555	52
557	53
559	76
561	357
563	30
565	35
567	155
569	70
571	20
573	51
575	26
577	188
579	74
581	28
583	27
585	80
587	98
589	43
591	84
593	156
595	96
597	41
599	47
601	148
603	47
605	90
607	37
609	28
611	42
613	28
615	103
617	108
619	89
621	171
623	45
625	106
627	181
629	121
631	20
633	58
635	34
637	104
639	148
641	40
643	206
645	122
647	58
649	24
651	21
653	283
655	685
657	29
659	191
661	121
663	158
665	142
667	47
669	100
671	124
673	35
675	34
677	49
679	62
681	22
683	75
685	20
687	21
689	36
691	32
693	154
695	38
697	105
699	149
701	33
703	47
705	114
707	236
709	138
711	221
713	30
715	167
717	93
719	67
721	168
723	22
725	25
727	322
729	21
731	83
733	107
735	53
737	33
739	35
741	104
743	35
745	60
747	293
749	305
751	168
753	57
755	38
757	166
759	32
761	66
763	129
765	23
767	37
769	29
771	70
773	161
775	28
777	36
779	37
781	42
783	30
785	27
787	57
789	33
791	25
793	55
795	159
797	26
799	24
801	26
803	33
805	273
807	204
809	20
811	21
813	29
815	183
817	36
819	28
821	62
823	185
825	145
827	28
829	64
831	73
833	267
835	102
837	46
839	57
841	31
843	204
845	31
847	146
849	23
851	209
853	41
855	23
857	22
859	39
861	43
863	107
865	66
867	95
869	47
871	115
873	20
875	89
877	81
879	29
881	259
883	268
885	102
887	171
889	326
891	47
893	59
895	20
897	185
899	135
901	124
903	136
905	40
907	147
909	26
911	98
913	132
915	26
917	35
919	217
921	110
923	74
925	32
927	120
929	49
931	61
933	184
935	39
937	40
939	49
941	22
943	168
